Influxcoin,20446,X11,PoW/PoS
EthereumScrypt,20448,Scrypt,PoW/PoS
Phalanx,20580,SHA-256,PoW
NumbersCoin,20583,Scrypt,PoW/PoS
SoulCoin,20585,Scrypt,PoW/PoS
Ionomy,20591,N/A,PoS
GrownCoin,20600,N/A,PoW/PoS
SuperNET,20635,N/A,N/A
OldSafeCoin,20640,N/A,PoS
SunShotCoin,20644,X11,PoW
NetworkCoin,20647,X13,PoW/PoS
GPU Coin,20650,Scrypt,PoS
Think And Get Rich Coin,20652,X15,PoW/PoS
HempCoin,20655,Scrypt-n,PoW
Adzcoin,20656,X11,PoW
Gapcoin,20659,Scrypt,PoW/PoS
MayaCoin,20661,Scrypt,PoW/PoS
InvisibleCoin,20679,N/A,PoS
VirtaCoin,20680,Scrypt,PoW
SoilCoin,20685,Dagger,PoW
DigiCube,20688,N/A,PoS
YoCoin,20691,Scrypt,PoW
VapersCoin,20718,Scrypt,PoW
AlpaCoin,20722,SHA-256,PoW
Steps,20724,N/A,PoS
DebitCoin,20726,N/A,N/A
Universal Currency,20728,SHA-256,PoW/PoS
MoinCoin,20744,N/A,PoW/PoS
EuropeCoin,20748,X11,PoW/PoS
AdvancedInternetBlock,20806,Scrypt,PoW
PrimeChain,20814,N/A,PoS
BERNcash,20817,X14,PoW/PoS
BigUp,20819,N/A,PoS
RevolverCoin,20823,X11Evo,PoW
EliteCoin,20824,X13,PoW/PoS
PepeCoin,20825,X11,PoW/PoS
DragonSphere,20826,X11,PoW/PoS
Anti Bitcoin,20828,SHA-256,PoW
BreakoutCoin,20892,SHA-256,PoW/PoS
ColossusCoinXT,20903,X11,PoS
Mineum,20905,X13,PoW/PoS
ZeitCoin,20908,Scrypt,PoS
SixEleven,20909,SHA-256,PoW
2GiveCoin,20910,Scrypt,PoW/PoS
Cryptographic Anomaly,20911,Scrypt,PoW
SwingCoin,20920,SHA-256,PoW/PoS
SafeExchangeCoin,20594,Scrypt,PoC
Nebuchadnezzar,20980,PoS,PoS
AcesCoin,20986,X11,PoS
Francs,20991,Scrypt,PoW
Aiden,21007,ScryptOG,PoW
